Material,Plant,Quantity,PurchaseOrder,UnitofMeasure,EntryDate,DebitCredit
1313254,CON1,"1,814.400",4500088930,KG,5/25/2022,S
1313254,CON1,"1,065.960",4500088930,KG,5/25/2022,S
1010033,CON1,"21,772.800",4500084051,KG,5/25/2022,S
1010033,CON1,"21,772.800",4500086304,KG,5/25/2022,S
1313253,CON1,"4,536.000",4500088838,KG,5/25/2022,S
1313253,CON1,"11,793.600",4500088838,KG,5/25/2022,S
1313253,CON1,"1,814.400",4500088838,KG,5/25/2022,S
1010033,CON1,"21,772.800",4500086305,KG,5/25/2022,S
1010010,CON1,"11,432.400",4500092022,KG,5/25/2022,S
1010333,CON1,"8,709.120",4500084267,KG,5/25/2022,S
1010333,CON1,"13,063.680",4500084267,KG,5/25/2022,S
1010003,CON1,272.160,4800042177,KG,5/26/2022,H
1010003,CON1,"12,791.520",4800042177,KG,5/26/2022,H
1010003,CON1,"5,443.200",4800042177,KG,5/26/2022,H
1010333,CON1,544.320,4800042116,KG,5/26/2022,H
1010333,CON1,"13,608.000",4800042116,KG,5/26/2022,H
1010027,CON1,"4,899.600",4800042209,KG,5/26/2022,H
1010027,CON1,"8,166.000",4800042209,KG,5/26/2022,H
1313254,CON1,"15,422.400",4500088931,KG,5/26/2022,S
1313254,CON1,748.440,4500088931,KG,5/26/2022,S
1313254,CON1,"1,814.400",4500088931,KG,5/26/2022,S
1313254,CON1,158.760,4500088931,KG,5/26/2022,S
1010027,CON1,"8,574.300",4500067246,KG,5/26/2022,S
1010027,CON1,"14,698.800",4500067246,KG,5/26/2022,S
1010027,CON1,680.500,4500067246,KG,5/26/2022,S
1010003,CON1,"1,088.640",4500083067,KG,5/26/2022,S
1010003,CON1,"18,506.880",4500083067,KG,5/26/2022,S
1010003,CON1,"13,063.680",4500083068,KG,5/26/2022,S
1010003,CON1,"2,177.280",4500083068,KG,5/26/2022,S
1010003,CON1,"1,088.640",4500083068,KG,5/26/2022,S
1010004,CON1,"11,340.000",4500092971,KG,5/26/2022,S
1010333,CON1,"5,443.200",4500070171,KG,5/26/2022,S
1010333,CON1,"4,354.560",4500070171,KG,5/26/2022,S
1010333,CON1,"11,975.040",4500070171,KG,5/26/2022,S
1111089,CON1,516.800,4800042369,KG,5/27/2022,H
1111089,CON1,598.400,4800042369,KG,5/27/2022,H
1111089,CON1,"1,074.400",4800042369,KG,5/27/2022,H
1111089,CON1,"8,704.000",4800042369,KG,5/27/2022,H
1111089,CON1,"1,088.000",4800042369,KG,5/27/2022,H
1111089,CON1,"4,352.000",4800042369,KG,5/27/2022,H
1111089,CON1,"2,176.000",4800042369,KG,5/27/2022,H
1010010,CON1,"8,982.600",4800042414,KG,5/27/2022,H
1010003,CON1,"1,088.640",4800042179,KG,5/27/2022,H
1010003,CON1,"6,531.840",4800042179,KG,5/27/2022,H
1010003,CON1,"10,886.400",4800042179,KG,5/27/2022,H
1010038,CON1,"16,184.000",4800042412,KG,5/27/2022,H
1111089,CON1,"3,264.000",4800042370,KG,5/27/2022,H
1111089,CON1,"15,232.000",4800042370,KG,5/27/2022,H
1010010,CON1,"7,621.600",4800042414,KG,5/27/2022,H
1010027,CON1,"8,166.000",4800042210,KG,5/27/2022,H
1010027,CON1,544.400,4800042210,KG,5/27/2022,H
1010027,CON1,"5,716.200",4800042210,KG,5/27/2022,H
1010027,CON1,816.600,4800042210,KG,5/27/2022,H
1010027,CON1,"2,722.000",4800042210,KG,5/27/2022,H
1010033,CON1,"1,088.640",4800041455,KG,5/27/2022,H
1010033,CON1,544.320,4800041455,KG,5/27/2022,H
1010033,CON1,"1,632.960",4800041455,KG,5/27/2022,H
1010033,CON1,"2,177.280",4800041455,KG,5/27/2022,H
1313253,CON1,"10,886.400",4500088841,KG,5/27/2022,S
1313253,CON1,884.520,4500088841,KG,5/27/2022,S
1313253,CON1,680.400,4500088841,KG,5/27/2022,S
1313253,CON1,907.200,4500088841,KG,5/27/2022,S
1313253,CON1,"4,536.000",4500088841,KG,5/27/2022,S
1313253,CON1,226.800,4500088841,KG,5/27/2022,S
1313253,CON1,22.680,4500088841,KG,5/27/2022,S
1313253,CON1,"4,536.000",4800041973,KG,5/28/2022,H
1313254,CON1,"1,814.400",4800041973,KG,5/28/2022,H
1313253,CON1,907.200,4800042151,KG,5/28/2022,H
1313253,CON1,"1,814.400",4800042151,KG,5/28/2022,H
1313254,CON1,907.200,4800042151,KG,5/28/2022,H
1313254,CON1,"1,814.400",4800042151,KG,5/28/2022,H
1313253,CON1,"5,670.000",4500088921,KG,5/28/2022,S
1313253,CON1,"3,628.800",4500088921,KG,5/28/2022,S
1313253,CON1,"8,845.200",4500088921,KG,5/28/2022,S
1010003,CON1,"9,253.440",4800042178,KG,5/30/2022,H
1010003,CON1,"1,088.640",4800042178,KG,5/30/2022,H
1010003,CON1,"6,531.840",4800042178,KG,5/30/2022,H
1010003,CON1,544.320,4800042178,KG,5/30/2022,H
1010033,CON1,"3,265.920",4800042173,KG,5/30/2022,H
1010033,CON1,"1,088.640",4800042173,KG,5/30/2022,H
1313253,CON1,"9,979.200",4800042332,KG,5/30/2022,H
1313254,CON1,"5,443.200",4800042332,KG,5/30/2022,H
1313255,CON1,907.200,4800042332,KG,5/30/2022,H
1313096,CON1,"1,814.400",4800042332,KG,5/30/2022,H
1010027,CON1,"6,532.800",4800042409,KG,5/30/2022,H
1010027,CON1,"11,432.400",4800042409,KG,5/30/2022,H
1313253,CON1,"5,443.200",4800042117,KG,5/30/2022,H
1313253,CON1,"2,721.600",4800042117,KG,5/30/2022,H
1111089,CON1,"9,384.000",4800042372,KG,5/30/2022,H
1111089,CON1,816.000,4800042372,KG,5/30/2022,H
1313253,CON1,"3,628.800",4800042332,KG,5/31/2022,H
1111089,CON1,"6,936.000",4800042371,KG,5/31/2022,H
1111089,CON1,"3,264.000",4800042371,KG,5/31/2022,H
1010033,CON1,"14,152.320",4800042180,KG,5/31/2022,H
1313254,CON1,"4,536.000",4800042119,KG,5/31/2022,H
1313254,CON1,"3,628.800",4800042119,KG,5/31/2022,H
1313254,CON1,"2,721.600",4800042119,KG,5/31/2022,H
1010027,CON1,"8,982.600",4800042410,KG,5/31/2022,H
1010027,CON1,"3,266.400",4800042410,KG,5/31/2022,H
1010027,CON1,680.500,4800042410,KG,5/31/2022,H
1010027,CON1,"1,633.200",4800042410,KG,5/31/2022,H
1010027,CON1,408.300,4800042410,KG,5/31/2022,H
1010027,CON1,258.590,4800042410,KG,5/31/2022,H
1010033,CON1,"2,721.600",4800042173,KG,5/31/2022,H
1111089,CON1,"1,156.000",4500091097,KG,5/31/2022,S
1111089,CON1,"1,020.000",4500091097,KG,5/31/2022,S
1111089,CON1,"16,320.000",4500091097,KG,5/31/2022,S
1313254,CON1,408.240,4500088932,KG,5/31/2022,S
1313254,CON1,498.960,4500088932,KG,5/31/2022,S
1313254,CON1,"14,515.200",4500088932,KG,5/31/2022,S
1313254,CON1,"2,721.600",4500088932,KG,5/31/2022,S
1313253,CON1,"3,628.800",4500088923,KG,5/31/2022,S
1313253,CON1,"13,608.000",4500088923,KG,5/31/2022,S
1313253,CON1,158.760,4500088923,KG,5/31/2022,S
1313253,CON1,748.440,4500088923,KG,5/31/2022,S
1010033,CON1,"14,152.320",4800042181,KG,6/1/2022,H
1010003,CON1,"4,082.400",4800042564,KG,6/1/2022,H
1010003,CON1,"11,975.040",4800042564,KG,6/1/2022,H
1010003,CON1,"2,449.440",4800042564,KG,6/1/2022,H
1010027,CON1,"4,899.600",4800042574,KG,6/1/2022,H
1010027,CON1,"13,065.600",4800042574,KG,6/1/2022,H
1313344,CON1,"20,000.000",4500081603,KG,6/1/2022,S
1313344,CON1,"20,000.000",4500081602,KG,6/1/2022,S
1010003,CON1,"9,797.760",4800042566,KG,6/2/2022,H
1010003,CON1,"8,709.120",4800042566,KG,6/2/2022,H
1010003,CON1,"10,614.240",4800042565,KG,6/2/2022,H
1010003,CON1,"7,620.480",4800042565,KG,6/2/2022,H
1010003,CON1,272.160,4800042565,KG,6/2/2022,H
1313096,CON1,"2,721.600",4800042333,KG,6/2/2022,H
1313253,CON1,"3,628.800",4800042333,KG,6/2/2022,H
1313254,CON1,"2,721.600",4800042333,KG,6/2/2022,H
1313255,CON1,"1,814.400",4800042333,KG,6/2/2022,H
1010027,CON1,"6,532.800",4800042575,KG,6/2/2022,H
1010027,CON1,"11,432.400",4800042575,KG,6/2/2022,H
1313344,CON1,"20,000.000",4500081604,KG,6/2/2022,S
1010003,CON1,"10,886.400",4500081692,KG,6/2/2022,S
1010003,CON1,"8,709.120",4500081692,KG,6/2/2022,S
1010003,CON1,"1,088.640",4500081691,KG,6/2/2022,S
1010003,CON1,"2,177.280",4500081691,KG,6/2/2022,S
1010003,CON1,"5,443.200",4500081691,KG,6/2/2022,S
1010003,CON1,"7,620.480",4500081691,KG,6/2/2022,S
1010004,CON1,"11,340.000",4500093607,KG,6/2/2022,S
1010003,CON1,"2,177.280",4500081695,KG,6/2/2022,S
1010003,CON1,"8,709.120",4500081695,KG,6/2/2022,S
1010033,CON1,"21,772.800",4500086314,KG,6/2/2022,S
1111164,CON1,"3,628.800",4800042118,KG,6/3/2022,H
1313253,CON1,"5,443.200",4800042118,KG,6/3/2022,H
1313253,CON1,"1,882.440",4800042118,KG,6/3/2022,H
1313253,CON1,839.160,4800042118,KG,6/3/2022,H
1010003,CON1,272.160,4800042568,KG,6/3/2022,H
1010003,CON1,"5,171.040",4800042568,KG,6/3/2022,H
1010003,CON1,"13,063.680",4800042568,KG,6/3/2022,H
1010333,CON1,"14,152.320",4800042367,KG,6/3/2022,H
1111089,CON1,"1,088.000",4800042611,KG,6/3/2022,H
1111089,CON1,"7,616.000",4800042611,KG,6/3/2022,H
1111089,CON1,"9,792.000",4800042611,KG,6/3/2022,H
1010027,CON1,"6,532.800",4800042576,KG,6/3/2022,H
1010027,CON1,816.600,4800042576,KG,6/3/2022,H
1010027,CON1,435.520,4800042576,KG,6/3/2022,H
1313254,CON1,"2,721.600",4800042364,KG,6/3/2022,H
1313254,CON1,"1,814.400",4800042364,KG,6/3/2022,H
1010003,CON1,"4,354.560",4500083064,KG,6/3/2022,S
1010003,CON1,"15,240.960",4500083064,KG,6/3/2022,S
1010003,CON1,"2,177.280",4500083066,KG,6/3/2022,S
1010003,CON1,"9,797.760",4500083066,KG,6/3/2022,S
1010003,CON1,"5,443.200",4500083066,KG,6/3/2022,S
1010027,CON1,"22,864.800",4500093645,KG,6/3/2022,S
1010003,CON1,"2,177.280",4500083071,KG,6/3/2022,S
1010003,CON1,"17,418.240",4500083071,KG,6/3/2022,S
1010003,CON1,"4,354.560",4500083070,KG,6/3/2022,S
1010003,CON1,"6,531.840",4500083070,KG,6/3/2022,S
1010003,CON1,"5,443.200",4500083070,KG,6/3/2022,S
1010003,CON1,"3,265.920",4500083070,KG,6/3/2022,S
1010003,CON1,"8,709.120",4500083072,KG,6/3/2022,S
1010003,CON1,"2,177.280",4500083072,KG,6/3/2022,S
1010003,CON1,"6,531.840",4500083072,KG,6/3/2022,S
1010003,CON1,"1,088.640",4500083072,KG,6/3/2022,S
1010003,CON1,"14,152.320",4500083073,KG,6/3/2022,S
1010003,CON1,"3,265.920",4500083073,KG,6/3/2022,S
1010003,CON1,"2,177.280",4500083073,KG,6/3/2022,S
1010333,CON1,"17,962.560",4500087251,KG,6/3/2022,S
1010333,CON1,"3,810.240",4500087251,KG,6/3/2022,S
1111083,CON1,"9,799.200",4500085769,KG,6/3/2022,S
1111083,CON1,"7,839.360",4500085769,KG,6/3/2022,S
1010033,CON1,"1,632.960",4800042173,KG,6/4/2022,H
1010033,CON1,"9,797.760",4800042173,KG,6/4/2022,H
1111089,CON1,544.000,4800042612,KG,6/4/2022,H
1111089,CON1,"15,164.000",4800042612,KG,6/4/2022,H
1111089,CON1,"2,788.000",4800042612,KG,6/4/2022,H
1010033,CON1,"8,709.120",4800042572,KG,6/4/2022,H
1313255,CON1,"2,721.600",4800042363,KG,6/4/2022,H
1010333,CON1,"14,152.320",4800042368,KG,6/6/2022,H
1010003,CON1,"8,709.120",4800042569,KG,6/6/2022,H
1010003,CON1,"8,981.280",4800042569,KG,6/6/2022,H
1010003,CON1,816.480,4800042569,KG,6/6/2022,H
1111089,CON1,"6,922.400",4800042613,KG,6/6/2022,H
1111089,CON1,"11,573.600",4800042613,KG,6/6/2022,H
1313253,CON1,"1,814.400",4800042399,KG,6/6/2022,H
1313254,CON1,"4,536.000",4800042399,KG,6/6/2022,H
1313255,CON1,"1,814.400",4800042399,KG,6/6/2022,H
1313096,CON1,"2,721.600",4800042440,KG,6/6/2022,H
1313253,CON1,"4,536.000",4800042440,KG,6/6/2022,H
1313254,CON1,"5,443.200",4800042440,KG,6/6/2022,H
1010003,CON1,"3,265.920",4500081694,KG,6/6/2022,S
1010003,CON1,"2,177.280",4500081694,KG,6/6/2022,S
1010003,CON1,"13,063.680",4500081694,KG,6/6/2022,S
1010003,CON1,"1,088.640",4500081694,KG,6/6/2022,S
1010027,CON1,122.490,4500089542,KG,6/6/2022,S
1010027,CON1,816.600,4500089542,KG,6/6/2022,S
1010027,CON1,"1,633.200",4500089542,KG,6/6/2022,S
1010027,CON1,190.540,4500089542,KG,6/6/2022,S
1010027,CON1,"4,083.000",4500089542,KG,6/6/2022,S
1010027,CON1,530.790,4500089542,KG,6/6/2022,S
1010027,CON1,136.100,4500089542,KG,6/6/2022,S
1010027,CON1,176.930,4500089542,KG,6/6/2022,S
1010027,CON1,"4,899.600",4500089542,KG,6/6/2022,S
1010027,CON1,775.770,4500089542,KG,6/6/2022,S
1010027,CON1,299.420,4500089542,KG,6/6/2022,S
1010027,CON1,612.450,4500089539,KG,6/6/2022,S
1010027,CON1,"1,633.200",4500089539,KG,6/6/2022,S
1010027,CON1,163.320,4500089539,KG,6/6/2022,S
1010027,CON1,108.880,4500089539,KG,6/6/2022,S
1010027,CON1,558.010,4500089539,KG,6/6/2022,S
1010027,CON1,"2,449.800",4500089539,KG,6/6/2022,S
1010027,CON1,421.910,4500089539,KG,6/6/2022,S
1010027,CON1,"3,266.400",4500089539,KG,6/6/2022,S
1010027,CON1,476.350,4500089539,KG,6/6/2022,S
1010027,CON1,816.600,4500089539,KG,6/6/2022,S
1010027,CON1,136.100,4500089539,KG,6/6/2022,S
1010027,CON1,299.420,4500089539,KG,6/6/2022,S
1010027,CON1,381.080,4500089539,KG,6/6/2022,S
1010027,CON1,149.710,4500089539,KG,6/6/2022,S
1010027,CON1,326.640,4500089539,KG,6/6/2022,S
1010027,CON1,122.490,4500089539,KG,6/6/2022,S
1010027,CON1,217.760,4500089539,KG,6/6/2022,S
1010333,CON1,"14,152.320",4500087255,KG,6/6/2022,S
1010333,CON1,"7,620.480",4500087255,KG,6/6/2022,S
1010333,CON1,"4,354.560",4500084268,KG,6/6/2022,S
1010333,CON1,"17,418.240",4500084268,KG,6/6/2022,S
1010003,CON1,"5,987.520",4800042567,KG,6/7/2022,H
1010003,CON1,"3,810.240",4800042567,KG,6/7/2022,H
1010003,CON1,"8,709.120",4800042567,KG,6/7/2022,H
1313373,CON1,100.000,,KG,6/7/2022,S
1313254,CON1,"8,164.800",4800042365,KG,6/7/2022,H
1010027,CON1,"17,965.200",4800042787,KG,6/7/2022,H
1111164,CON1,907.200,4800042583,KG,6/7/2022,H
1010027,CON1,680.500,4500089540,KG,6/7/2022,S
1010027,CON1,136.100,4500089540,KG,6/7/2022,S
1010027,CON1,802.990,4500089540,KG,6/7/2022,S
1010027,CON1,734.940,4500089540,KG,6/7/2022,S
1010027,CON1,544.400,4500089540,KG,6/7/2022,S
1010027,CON1,"4,083.000",4500089540,KG,6/7/2022,S
1010027,CON1,816.600,4500089540,KG,6/7/2022,S
1010027,CON1,"4,899.600",4500089540,KG,6/7/2022,S
1010027,CON1,"5,716.200",4500089540,KG,6/7/2022,S
1010027,CON1,176.930,4500089541,KG,6/7/2022,S
1010027,CON1,136.100,4500089541,KG,6/7/2022,S
1010027,CON1,231.370,4500089541,KG,6/7/2022,S
1010027,CON1,381.080,4500089541,KG,6/7/2022,S
1010027,CON1,421.910,4500089541,KG,6/7/2022,S
1010027,CON1,122.490,4500089541,KG,6/7/2022,S
1010027,CON1,217.760,4500089541,KG,6/7/2022,S
1010027,CON1,353.860,4500089541,KG,6/7/2022,S
1010027,CON1,54.440,4500089541,KG,6/7/2022,S
1010027,CON1,108.880,4500089541,KG,6/7/2022,S
1010027,CON1,"1,633.200",4500089541,KG,6/7/2022,S
1010027,CON1,816.600,4500089541,KG,6/7/2022,S
1010027,CON1,"6,532.800",4500089541,KG,6/7/2022,S
1010027,CON1,"2,449.800",4500089541,KG,6/7/2022,S
1010333,CON1,"21,772.800",4500087253,KG,6/7/2022,S
1010333,CON1,"21,772.800",4500087254,KG,6/7/2022,S
1010333,CON1,"2,177.280",4500087252,KG,6/7/2022,S
1010333,CON1,"1,088.640",4500087252,KG,6/7/2022,S
1010333,CON1,"18,506.880",4500087252,KG,6/7/2022,S
1010333,CON1,"6,531.840",4500087249,KG,6/7/2022,S
1010333,CON1,"1,632.960",4500087249,KG,6/7/2022,S
1010333,CON1,"13,608.000",4500087249,KG,6/7/2022,S
1010333,CON1,"13,063.680",4500087250,KG,6/7/2022,S
1010333,CON1,"8,709.120",4500087250,KG,6/7/2022,S
1010004,CON1,"8,505.000",4800042670,KG,6/8/2022,H
1010003,CON1,"11,702.880",4800042570,KG,6/8/2022,H
1010003,CON1,"6,804.000",4800042570,KG,6/8/2022,H
1010003,CON1,"18,506.880",4800042571,KG,6/8/2022,H
1313253,CON1,"2,721.600",4800042366,KG,6/8/2022,H
1010033,CON1,"14,152.320",4800042415,KG,6/8/2022,H
1313253,CON1,"9,072.000",4800042441,KG,6/8/2022,H
1313254,CON1,"5,443.200",4800042441,KG,6/8/2022,H
1010004,CON1,"11,340.000",4500094276,KG,6/8/2022,S
1010027,CON1,"22,864.800",4500093647,KG,6/8/2022,S
1313344,CON1,"9,000.000",4800042877,KG,6/9/2022,H
1010033,CON1,"9,797.760",4800042572,KG,6/9/2022,H
1010333,CON1,"8,074.080",4800042587,KG,6/9/2022,H
1313255,CON1,907.200,4800042442,KG,6/9/2022,H
1313254,CON1,"6,350.400",4800042442,KG,6/9/2022,H
1313253,CON1,"4,536.000",4800042442,KG,6/9/2022,H
1010004,CON1,"11,340.000",4500094718,KG,6/9/2022,S
1010027,CON1,"13,065.600",4500087546,KG,6/9/2022,S
1010027,CON1,"10,615.800",4500087546,KG,6/9/2022,S
1010027,CON1,272.200,4500087546,KG,6/9/2022,S
1010027,CON1,"23,681.400",4500087545,KG,6/9/2022,S
1010027,CON1,272.200,4500087545,KG,6/9/2022,S
1111089,CON1,544.000,4500091098,KG,6/9/2022,S
1111089,CON1,"3,264.000",4500091098,KG,6/9/2022,S
1111089,CON1,952.000,4500091098,KG,6/9/2022,S
1111089,CON1,136.000,4500091098,KG,6/9/2022,S
1111089,CON1,"9,792.000",4500091098,KG,6/9/2022,S
1313344,CON1,"9,000.000",4800042878,KG,6/10/2022,H
1111164,CON1,907.200,4800042808,KG,6/10/2022,H
1313253,CON1,"6,350.400",4800042808,KG,6/10/2022,H
1313254,CON1,"9,072.000",4800042808,KG,6/10/2022,H
1313255,CON1,"2,721.600",4800042808,KG,6/10/2022,H
1313296,CON1,"1,000.000",4800042808,KG,6/10/2022,H
1010333,CON1,"14,152.320",4800042586,KG,6/10/2022,H
1010003,CON1,"19,595.520",4500081692,KG,6/10/2022,H
1010027,CON1,"3,266.400",4500087544,KG,6/10/2022,S
1010027,CON1,408.300,4500087544,KG,6/10/2022,S
1010027,CON1,816.600,4500087544,KG,6/10/2022,S
1010027,CON1,136.100,4500087544,KG,6/10/2022,S
1010027,CON1,544.400,4500087544,KG,6/10/2022,S
1010027,CON1,"18,781.800",4500087544,KG,6/10/2022,S
1111089,CON1,"1,088.000",4500091102,KG,6/10/2022,S
1111089,CON1,911.200,4500091102,KG,6/10/2022,S
1111089,CON1,"3,264.000",4500091102,KG,6/10/2022,S
1111089,CON1,"13,056.000",4500091102,KG,6/10/2022,S
1111089,CON1,163.200,4500091102,KG,6/10/2022,S
1010033,CON1,"10,886.400",4500086312,KG,6/10/2022,S
1111164,CON1,"1,814.400",4800042584,KG,6/11/2022,H
1313253,CON1,"4,536.000",4800042584,KG,6/11/2022,H
1313253,CON1,907.200,4800042584,KG,6/11/2022,H
1313253,CON1,"2,721.600",4800042607,KG,6/11/2022,H
1313254,CON1,"4,536.000",4800042607,KG,6/11/2022,H
1313254,CON1,"2,721.600",4800042607,KG,6/11/2022,H
1313254,CON1,907.200,4800042607,KG,6/11/2022,H
1010027,CON1,"17,965.200",4500093649,KG,6/11/2022,S
1313253,CON1,"2,721.600",4500091737,KG,6/11/2022,S
1313253,CON1,"1,360.800",4500091737,KG,6/11/2022,S
1313253,CON1,521.640,4500091737,KG,6/11/2022,S
1313253,CON1,226.800,4500091737,KG,6/11/2022,S
1313253,CON1,"7,257.600",4500091737,KG,6/11/2022,S
1313253,CON1,771.120,4500091737,KG,6/11/2022,S
1313253,CON1,430.920,4500091737,KG,6/11/2022,S
1313253,CON1,"3,628.800",4500091737,KG,6/11/2022,S
1313253,CON1,997.920,4500091737,KG,6/11/2022,S
1010033,CON1,"3,265.920",4800042871,KG,6/13/2022,H
1010033,CON1,544.320,4800042871,KG,6/13/2022,H
1010033,CON1,"14,152.320",4800042608,KG,6/13/2022,H
1010004,CON1,"2,835.000",4800042671,KG,6/13/2022,H
1010004,CON1,"4,725.000",4800042671,KG,6/13/2022,H
1010004,CON1,"3,739.500",4800042671,KG,6/13/2022,H
1313344,CON1,"20,000.000",4500081606,KG,6/13/2022,S
1010027,CON1,"9,799.200",4500087543,KG,6/13/2022,S
1010027,CON1,272.200,4500087543,KG,6/13/2022,S
1010027,CON1,"13,882.200",4500087543,KG,6/13/2022,S
1010033,CON1,"21,772.800",4500086308,KG,6/13/2022,S
1010033,CON1,"21,772.800",4500086309,KG,6/13/2022,S
1010033,CON1,"21,772.800",4500086306,KG,6/13/2022,S
1010033,CON1,"21,772.800",4500086313,KG,6/13/2022,S
1313253,CON1,"6,350.400",4800042585,KG,6/14/2022,H
1313254,CON1,"5,443.200",4800042585,KG,6/14/2022,H
1010333,CON1,"14,152.320",4800042588,KG,6/14/2022,H
1111164,CON1,907.200,4800042809,KG,6/14/2022,H
1313096,CON1,"1,814.400",4800042809,KG,6/14/2022,H
1313253,CON1,"5,443.200",4800042809,KG,6/14/2022,H
1313254,CON1,907.200,4800042809,KG,6/14/2022,H
1313255,CON1,907.200,4800042809,KG,6/14/2022,H
1313344,CON1,"9,000.000",4800042880,KG,6/14/2022,H
1010003,CON1,"17,826.480",,KG,6/14/2022,H
1010003,CON1,"17,282.160",,KG,6/14/2022,H
1313373,CON1,25.000,,KG,6/14/2022,S
1313373,CON1,125.000,,KG,6/14/2022,H
1010027,CON1,"17,965.200",4800042922,KG,6/14/2022,H
1313253,CON1,"2,925.720",4500091738,KG,6/14/2022,S
1313253,CON1,"8,981.280",4500091738,KG,6/14/2022,S
1313253,CON1,"6,191.640",4500091738,KG,6/14/2022,S
1010010,CON1,"22,864.800",4500092023,KG,6/14/2022,S
1313253,CON1,"1,065.960",4500091739,KG,6/14/2022,S
1313253,CON1,"1,814.400",4500091739,KG,6/14/2022,S
1313253,CON1,"3,628.800",4500091739,KG,6/14/2022,S
1313253,CON1,748.440,4500091739,KG,6/14/2022,S
1313253,CON1,"10,886.400",4500091739,KG,6/14/2022,S
1010010,CON1,952.700,4500092024,KG,6/14/2022,S
1010010,CON1,"21,912.100",4500092024,KG,6/14/2022,S
1010033,CON1,"21,772.800",4500086307,KG,6/14/2022,S
1111003,CON1,"18,750.000",4500093003,KG,6/14/2022,S
1313254,CON1,"18,144.000",4500091748,KG,6/14/2022,S
1010027,CON1,"1,633.200",4500087538,KG,6/14/2022,S
1010027,CON1,272.200,4500087538,KG,6/14/2022,S
1010027,CON1,"2,449.800",4500087538,KG,6/14/2022,S
1010027,CON1,408.300,4500087538,KG,6/14/2022,S
1010027,CON1,285.810,4500087538,KG,6/14/2022,S
1010027,CON1,258.590,4500087538,KG,6/14/2022,S
1010027,CON1,231.370,4500087538,KG,6/14/2022,S
1010027,CON1,816.600,4500087538,KG,6/14/2022,S
1010027,CON1,136.100,4500087538,KG,6/14/2022,S
1010027,CON1,326.640,4500087538,KG,6/14/2022,S
1010027,CON1,462.740,4500087538,KG,6/14/2022,S
1010027,CON1,108.880,4500087538,KG,6/14/2022,S
1010027,CON1,"4,899.600",4800042923,KG,6/15/2022,H
1010027,CON1,"6,532.800",4800042923,KG,6/15/2022,H
1010027,CON1,612.450,4800042923,KG,6/15/2022,H
1010027,CON1,476.350,4800042923,KG,6/15/2022,H
1010027,CON1,381.080,4800042923,KG,6/15/2022,H
1010027,CON1,163.320,4800042923,KG,6/15/2022,H
