Material,Plant,Quantity,UnitofMeasure,EntryDate,DebitCredit
'1010003',BAR1,8709.12,KG,2022-06-03,S
'1010003',BAR1,2177.28,KG,2022-06-03,S
'1010003',BAR1,6531.84,KG,2022-06-03,S
'1010003',BAR1,1088.64,KG,2022-06-03,S
'1010003',BAR1,14152.32,KG,2022-06-03,S
'1010003',BAR1,3265.92,KG,2022-06-03,S
'1010003',BAR1,2177.28,KG,2022-06-03,S
'1010003',BAR1,8709.12,KG,2022-06-06,H
'1010003',BAR1,8981.28,KG,2022-06-06,H
'1010003',BAR1,816.48,KG,2022-06-06,H
'1010003',BAR1,3265.92,KG,2022-06-06,S
'1010003',BAR1,2177.28,KG,2022-06-06,S
'1010003',BAR1,13063.68,KG,2022-06-06,S
'1010003',BAR1,1088.64,KG,2022-06-06,S
'1010003',BAR1,5987.52,KG,2022-06-07,H
'1010003',BAR1,3810.24,KG,2022-06-07,H
'1010003',BAR1,8709.12,KG,2022-06-07,H
'1010003',BAR1,11702.88,KG,2022-06-08,H
'1010003',BAR1,6804.0,KG,2022-06-08,H
'1010003',BAR1,18506.88,KG,2022-06-08,H
'1010003',BAR1,19595.52,KG,2022-06-10,H
'1010003',BAR1,17826.48,KG,2022-06-14,H
'1010003',BAR1,17282.16,KG,2022-06-14,H
'1010003',BAR1,8709.12,KG,2022-06-15,H
'1010003',BAR1,9797.76,KG,2022-06-15,H
'1010003',BAR1,15240.96,KG,2022-06-16,H
'1010003',BAR1,3265.92,KG,2022-06-16,H
'1010003',BAR1,6531.84,KG,2022-06-17,H
'1010003',BAR1,7620.48,KG,2022-06-17,H
'1010003',BAR1,1088.64,KG,2022-06-17,H
'1010003',BAR1,3265.92,KG,2022-06-17,H
'1010003',BAR1,1088.64,KG,2022-06-17,S
'1010003',BAR1,2177.28,KG,2022-06-17,S
'1010003',BAR1,8709.12,KG,2022-06-17,S
'1010003',BAR1,7620.48,KG,2022-06-17,S
'1010003',BAR1,1088.64,KG,2022-06-17,S
'1010003',BAR1,3265.92,KG,2022-06-17,S
'1010003',BAR1,11975.04,KG,2022-06-17,S
'1010003',BAR1,2177.28,KG,2022-06-17,S
'1010003',BAR1,8709.12,KG,2022-06-17,S
'1010003',BAR1,2177.28,KG,2022-06-17,S
'1010003',BAR1,3265.92,KG,2022-06-17,S
'1010003',BAR1,14152.32,KG,2022-06-17,S
'1010003',BAR1,11975.04,KG,2022-06-17,S
'1010003',BAR1,1088.64,KG,2022-06-17,S
'1010003',BAR1,5443.2,KG,2022-06-17,S
'1010003',BAR1,14152.32,KG,2022-06-20,H
'1010003',BAR1,4354.56,KG,2022-06-20,H
'1010003',BAR1,2177.28,KG,2022-06-22,H
'1010003',BAR1,4354.56,KG,2022-06-22,H
'1010003',BAR1,5443.2,KG,2022-06-22,H
'1010003',BAR1,6531.84,KG,2022-06-22,H
'1010003',BAR1,5443.2,KG,2022-06-23,S
'1010003',BAR1,4354.56,KG,2022-06-23,S
'1010003',BAR1,1088.64,KG,2022-06-23,S
'1010003',BAR1,2177.28,KG,2022-06-23,S
'1010003',BAR1,18506.88,KG,2022-06-28,H
'1010003',BAR1,18506.88,KG,2022-06-28,H
'1010003',BAR1,2177.28,KG,2022-06-28,S
'1010003',BAR1,7620.48,KG,2022-06-28,S
'1010003',BAR1,4354.56,KG,2022-06-28,S
'1010003',BAR1,1088.64,KG,2022-06-28,S
'1010003',BAR1,9797.76,KG,2022-06-29,S
'1010003',BAR1,3265.92,KG,2022-06-29,S
'1010003',BAR1,1088.64,KG,2022-06-29,S
'1010003',BAR1,5443.2,KG,2022-06-29,S
'1010003',BAR1,18506.88,KG,2022-07-04,H
'1010003',BAR1,18506.88,KG,2022-07-05,H
'1010003',BAR1,7620.48,KG,2022-07-07,H
'1010003',BAR1,10886.4,KG,2022-07-07,H
'1010003',BAR1,14152.32,KG,2022-07-08,H
'1010003',BAR1,4354.56,KG,2022-07-08,H
'1010003',BAR1,10886.4,KG,2022-07-12,H
'1010003',BAR1,7620.48,KG,2022-07-12,H
'1010003',BAR1,7620.48,KG,2022-07-12,S
'1010003',BAR1,11975.04,KG,2022-07-12,S
'1010003',BAR1,7620.48,KG,2022-07-12,S
'1010003',BAR1,9797.76,KG,2022-07-12,S
'1010003',BAR1,2177.28,KG,2022-07-12,S
'1010003',BAR1,13063.68,KG,2022-07-12,S
'1010003',BAR1,6531.84,KG,2022-07-12,S
'1010003',BAR1,2177.28,KG,2022-07-12,S
'1010003',BAR1,6531.84,KG,2022-07-12,S
'1010003',BAR1,10886.4,KG,2022-07-12,S
'1010003',BAR1,14152.32,KG,2022-07-12,S
'1010003',BAR1,5443.2,KG,2022-07-12,S
'1010003',BAR1,16329.6,KG,2022-07-12,S
'1010003',BAR1,3265.92,KG,2022-07-12,S
'1010003',BAR1,9797.76,KG,2022-07-14,S
'1010003',BAR1,4354.56,KG,2022-07-14,S
'1010003',BAR1,3265.92,KG,2022-07-14,S
'1010003',BAR1,1088.64,KG,2022-07-14,S
'1010003',BAR1,6531.84,KG,2022-07-15,S
'1010003',BAR1,1088.64,KG,2022-07-15,S
'1010003',BAR1,4354.56,KG,2022-07-15,S
'1010003',BAR1,5443.2,KG,2022-07-15,S
'1010003',BAR1,5443.2,KG,2022-07-15,S
'1010003',BAR1,11975.04,KG,2022-07-15,S
'1010003',BAR1,1088.64,KG,2022-07-15,S
'1010003',BAR1,1088.64,KG,2022-07-15,S
'1010003',BAR1,17418.24,KG,2022-07-15,S
'1010003',BAR1,8164.8,KG,2022-07-18,H
'1010003',BAR1,10342.08,KG,2022-07-18,H
'1010003',BAR1,5443.2,KG,2022-07-18,H
'1010003',BAR1,8709.12,KG,2022-07-19,H
'1010003',BAR1,9797.76,KG,2022-07-19,H
'1010003',BAR1,13063.68,KG,2022-07-20,H
'1010003',BAR1,13063.68,KG,2022-07-21,H
'1010003',BAR1,4354.56,KG,2022-07-21,H
'1010003',BAR1,1088.64,KG,2022-07-21,H
'1010003',BAR1,11975.04,KG,2022-07-21,S
'1010003',BAR1,4354.56,KG,2022-07-21,S
'1010003',BAR1,3265.92,KG,2022-07-21,S
'1010003',BAR1,11975.04,KG,2022-07-22,H
'1010003',BAR1,3265.92,KG,2022-07-22,H
'1010003',BAR1,1088.64,KG,2022-07-22,H
'1010003',BAR1,2177.28,KG,2022-07-22,H
'1010003',BAR1,4354.56,KG,2022-07-22,S
'1010003',BAR1,1088.64,KG,2022-07-22,S
'1010003',BAR1,3265.92,KG,2022-07-22,S
'1010003',BAR1,5443.2,KG,2022-07-22,S
'1010003',BAR1,2177.28,KG,2022-07-22,S
'1010003',BAR1,4354.56,KG,2022-07-22,S
'1010003',BAR1,1088.64,KG,2022-07-22,S
'1010003',BAR1,3265.92,KG,2022-07-22,S
'1010003',BAR1,2177.28,KG,2022-07-22,S
'1010003',BAR1,5443.2,KG,2022-07-22,S
'1010003',BAR1,11975.04,KG,2022-07-22,S
'1010003',BAR1,5443.2,KG,2022-07-22,S
'1010003',BAR1,1088.64,KG,2022-07-22,S
'1010003',BAR1,1088.64,KG,2022-07-22,S
'1010003',BAR1,8709.12,KG,2022-07-22,S
'1010003',BAR1,9797.76,KG,2022-07-22,S
'1010003',BAR1,18506.88,KG,2022-07-23,H
'1010003',BAR1,2177.28,KG,2022-07-23,S
'1010003',BAR1,3265.92,KG,2022-07-23,S
'1010003',BAR1,5443.2,KG,2022-07-23,S
'1010003',BAR1,7620.48,KG,2022-07-23,S
'1010003',BAR1,1088.64,KG,2022-07-23,S
'1010003',BAR1,18506.88,KG,2022-07-25,H
'1010003',BAR1,18506.88,KG,2022-07-26,H
'1010003',BAR1,11975.04,KG,2022-07-26,S
'1010003',BAR1,4354.56,KG,2022-07-26,S
'1010003',BAR1,2177.28,KG,2022-07-26,S
'1010003',BAR1,1088.64,KG,2022-07-26,S
'1010003',BAR1,13063.68,KG,2022-07-27,H
'1010003',BAR1,5443.2,KG,2022-07-27,H
'1010003',BAR1,1088.64,KG,2022-07-28,H
'1010003',BAR1,7620.48,KG,2022-07-28,H
'1010003',BAR1,9797.76,KG,2022-07-28,H
'1010003',BAR1,1088.64,KG,2022-07-29,S
'1010003',BAR1,2177.28,KG,2022-07-29,S
'1010003',BAR1,9797.76,KG,2022-07-29,S
'1010003',BAR1,4354.56,KG,2022-07-29,S
'1010003',BAR1,8709.12,KG,2022-07-29,S
'1010003',BAR1,1088.64,KG,2022-07-29,S
'1010003',BAR1,5443.2,KG,2022-07-29,S
'1010003',BAR1,14152.32,KG,2022-07-29,S
'1010003',BAR1,3265.92,KG,2022-07-29,S
'1010003',BAR1,1088.64,KG,2022-07-29,S
'1010003',BAR1,2177.28,KG,2022-07-29,S
'1010003',BAR1,5443.2,KG,2022-07-29,S
'1010003',BAR1,11975.04,KG,2022-07-29,S
'1010003',BAR1,4354.56,KG,2022-07-29,S
'1010003',BAR1,10886.4,KG,2022-07-29,S
'1010003',BAR1,2177.28,KG,2022-07-29,S
'1010003',BAR1,3265.92,KG,2022-07-29,S
'1010003',BAR1,10886.4,KG,2022-07-29,S
'1010003',BAR1,3265.92,KG,2022-07-29,S
'1010003',BAR1,4354.56,KG,2022-07-29,S
'1010003',BAR1,11975.04,KG,2022-07-29,S
'1010003',BAR1,11975.04,KG,2022-07-30,H
'1010003',BAR1,6531.84,KG,2022-07-30,H
'1010003',BAR1,7620.48,KG,2022-08-02,H
'1010003',BAR1,2177.28,KG,2022-08-02,H
'1010003',BAR1,7348.32,KG,2022-08-02,H
'1010003',BAR1,544.32,KG,2022-08-02,H
'1010003',BAR1,272.16,KG,2022-08-02,H
'1010003',BAR1,17418.24,KG,2022-08-02,H
'1010003',BAR1,544.32,KG,2022-08-02,H
'1010003',BAR1,3265.92,KG,2022-08-02,S
'1010003',BAR1,15240.96,KG,2022-08-02,S
'1010003',BAR1,1088.64,KG,2022-08-02,S
'1010003',BAR1,1088.64,KG,2022-08-02,S
'1010003',BAR1,17418.24,KG,2022-08-02,S
'1010003',BAR1,4354.56,KG,2022-08-03,S
'1010003',BAR1,7620.48,KG,2022-08-03,S
'1010003',BAR1,13063.68,KG,2022-08-04,H
'1010003',BAR1,5443.2,KG,2022-08-04,H
'1010003',BAR1,816.48,KG,2022-08-05,H
'1010003',BAR1,4354.56,KG,2022-08-05,H
'1010003',BAR1,9797.76,KG,2022-08-05,H
'1010003',BAR1,272.16,KG,2022-08-05,H
'1010003',BAR1,1088.64,KG,2022-08-05,H
'1010003',BAR1,1088.64,KG,2022-08-06,H
'1010003',BAR1,18506.88,KG,2022-08-06,H
'1010003',BAR1,5443.2,KG,2022-08-08,H
'1010003',BAR1,4354.56,KG,2022-08-08,H
'1010003',BAR1,3265.92,KG,2022-08-08,H
'1010003',BAR1,18506.88,KG,2022-08-09,H
'1010003',BAR1,10886.4,KG,2022-08-09,S
'1010003',BAR1,3265.92,KG,2022-08-09,S
'1010003',BAR1,1088.64,KG,2022-08-09,S
'1010003',BAR1,90.72,KG,2022-08-09,S
'1010003',BAR1,13063.68,KG,2022-08-10,H
'1010003',BAR1,5443.2,KG,2022-08-10,H
'1010003',BAR1,1088.64,KG,2022-08-10,S
'1010003',BAR1,4354.56,KG,2022-08-10,S
'1010003',BAR1,3265.92,KG,2022-08-10,S
'1010003',BAR1,2177.28,KG,2022-08-10,S
'1010003',BAR1,5443.2,KG,2022-08-11,H
'1010003',BAR1,11975.04,KG,2022-08-11,H
'1010003',BAR1,1088.64,KG,2022-08-11,H
'1010003',BAR1,16329.6,KG,2022-08-11,S
'1010003',BAR1,1088.64,KG,2022-08-11,S
'1010003',BAR1,13063.68,KG,2022-08-11,S
'1010003',BAR1,5443.2,KG,2022-08-11,S
'1010003',BAR1,1088.64,KG,2022-08-11,S
'1010003',BAR1,14152.32,KG,2022-08-12,H
'1010003',BAR1,4354.56,KG,2022-08-12,H
'1010003',BAR1,18506.88,KG,2022-08-13,H
'1010003',BAR1,7076.16,KG,2022-08-14,H
'1010003',BAR1,10342.08,KG,2022-08-14,H
'1010003',BAR1,1088.64,KG,2022-08-14,H
'1010003',BAR1,6531.84,KG,2022-08-15,H
'1010003',BAR1,1088.64,KG,2022-08-15,H
'1010003',BAR1,3265.92,KG,2022-08-15,H
'1010003',BAR1,1088.64,KG,2022-08-15,S
'1010003',BAR1,2177.28,KG,2022-08-15,S
'1010003',BAR1,11975.04,KG,2022-08-15,S
'1010003',BAR1,1088.64,KG,2022-08-15,S
'1010003',BAR1,7620.48,KG,2022-08-15,S
'1010003',BAR1,10886.4,KG,2022-08-15,S
'1010003',BAR1,17418.24,KG,2022-08-16,H
'1010003',BAR1,544.32,KG,2022-08-16,H
'1010003',BAR1,6531.84,KG,2022-08-16,S
'1010003',BAR1,13063.68,KG,2022-08-16,S
'1010003',BAR1,19595.52,KG,2022-08-16,S
'1010003',BAR1,6531.84,KG,2022-08-17,H
'1010003',BAR1,11975.04,KG,2022-08-17,H
'1010003',BAR1,1088.64,KG,2022-08-17,S
'1010003',BAR1,7620.48,KG,2022-08-17,S
'1010003',BAR1,2177.28,KG,2022-08-17,S
'1010003',BAR1,8709.12,KG,2022-08-17,S
'1010003',BAR1,1088.64,KG,2022-08-17,S
'1010003',BAR1,2177.28,KG,2022-08-17,S
'1010003',BAR1,15240.96,KG,2022-08-17,S
'1010003',BAR1,3265.92,KG,2022-08-18,H
'1010003',BAR1,1088.64,KG,2022-08-18,H
'1010003',BAR1,12791.52,KG,2022-08-18,H
'1010003',BAR1,272.16,KG,2022-08-18,H
'1010003',BAR1,2177.28,KG,2022-08-18,S
'1010003',BAR1,15240.96,KG,2022-08-18,S
'1010003',BAR1,10886.4,KG,2022-08-18,S
'1010003',BAR1,4354.56,KG,2022-08-18,S
'1010003',BAR1,1088.64,KG,2022-08-18,S
'1010003',BAR1,6531.84,KG,2022-08-18,S
'1010003',BAR1,10886.4,KG,2022-08-18,S
'1010003',BAR1,7620.48,KG,2022-08-20,H
'1010003',BAR1,9797.76,KG,2022-08-20,H
'1010003',BAR1,1088.64,KG,2022-08-20,H
'1010003',BAR1,13063.68,KG,2022-08-22,H
'1010003',BAR1,1088.64,KG,2022-08-22,H
'1010003',BAR1,2177.28,KG,2022-08-23,H
'1010003',BAR1,1088.64,KG,2022-08-23,H
'1010003',BAR1,11975.04,KG,2022-08-23,H
'1010003',BAR1,2721.6,KG,2022-08-23,H
'1010003',BAR1,544.32,KG,2022-08-23,H
'1010003',BAR1,10886.4,KG,2022-08-23,S
'1010003',BAR1,2177.28,KG,2022-08-23,S
'1010003',BAR1,6531.84,KG,2022-08-23,S
'1010003',BAR1,19595.52,KG,2022-08-23,S
'1010003',BAR1,1088.64,KG,2022-08-24,H
'1010003',BAR1,8709.12,KG,2022-08-24,H
'1010003',BAR1,997.92,KG,2022-08-25,S
'1010003',BAR1,1088.64,KG,2022-08-25,S
'1010003',BAR1,13063.68,KG,2022-08-25,S
'1010003',BAR1,4354.56,KG,2022-08-25,S
'1010003',BAR1,12345.178,KG,2022-08-28,H
'1010003',BAR1,1088.64,KG,2022-08-29,S
'1010003',BAR1,6531.84,KG,2022-08-29,S
'1010003',BAR1,11975.04,KG,2022-08-29,S
'1010003',BAR1,74071.066,KG,2022-08-30,H
'1010003',BAR1,98761.424,KG,2022-08-30,S
'1010003',BAR1,16873.92,KG,2022-08-30,H
'1010003',BAR1,544.32,KG,2022-08-30,H
'1010003',BAR1,1088.64,KG,2022-08-30,H
'1010003',BAR1,2177.28,KG,2022-08-30,S
'1010003',BAR1,14152.32,KG,2022-08-30,S
'1010003',BAR1,3265.92,KG,2022-08-30,S
'1010003',BAR1,8709.12,KG,2022-08-30,S
'1010003',BAR1,7620.48,KG,2022-08-30,S
'1010003',BAR1,90.72,KG,2022-08-30,S
'1010003',BAR1,1088.64,KG,2022-08-30,S
'1010003',BAR1,13063.68,KG,2022-08-30,S
'1010003',BAR1,3265.92,KG,2022-08-30,S
'1010003',BAR1,7620.48,KG,2022-08-31,H
'1010003',BAR1,10886.4,KG,2022-08-31,H
'1010003',BAR1,1088.64,KG,2022-08-31,S
'1010003',BAR1,3265.92,KG,2022-08-31,S
'1010003',BAR1,4354.56,KG,2022-08-31,S
'1010003',BAR1,6531.84,KG,2022-08-31,S
'1010003',BAR1,9797.76,KG,2022-09-02,S
'1010003',BAR1,5443.2,KG,2022-09-02,S
'1010003',BAR1,1088.64,KG,2022-09-02,S
'1010003',BAR1,3265.92,KG,2022-09-07,S
'1010003',BAR1,8709.12,KG,2022-09-07,S
'1010003',BAR1,7620.48,KG,2022-09-07,S
'1010003',BAR1,997.92,KG,2022-09-07,S
'1010003',BAR1,1088.64,KG,2022-09-07,S
'1010003',BAR1,2177.28,KG,2022-09-07,S
'1010003',BAR1,5443.2,KG,2022-09-07,S
'1010003',BAR1,10886.4,KG,2022-09-07,S
'1010003',BAR1,7620.48,KG,2022-09-08,S
'1010003',BAR1,9797.76,KG,2022-09-08,S
'1010003',BAR1,2177.28,KG,2022-09-08,S
'1010003',BAR1,1088.64,KG,2022-09-09,S
'1010003',BAR1,18506.88,KG,2022-09-09,S
'1010003',BAR1,6531.84,KG,2022-09-09,S
'1010003',BAR1,2177.28,KG,2022-09-09,S
'1010003',BAR1,10886.4,KG,2022-09-09,S
'1010003',BAR1,7620.48,KG,2022-09-14,S
'1010003',BAR1,6531.84,KG,2022-09-14,S
'1010003',BAR1,2177.28,KG,2022-09-14,S
'1010003',BAR1,1088.64,KG,2022-09-14,S
'1010003',BAR1,1088.64,KG,2022-09-15,S
'1010003',BAR1,2177.28,KG,2022-09-15,S
'1010003',BAR1,5443.2,KG,2022-09-15,S
'1010003',BAR1,10886.4,KG,2022-09-15,S
'1010003',BAR1,8709.12,KG,2022-09-15,S
'1010003',BAR1,4354.56,KG,2022-09-15,S
'1010003',BAR1,3265.92,KG,2022-09-15,S
'1010003',BAR1,2177.28,KG,2022-09-15,S
'1010003',BAR1,1088.64,KG,2022-09-15,S
'1010003',BAR1,5443.2,KG,2022-09-15,S
'1010003',BAR1,9797.76,KG,2022-09-15,S
'1010003',BAR1,2177.28,KG,2022-09-15,S
'1010003',BAR1,9797.76,KG,2022-09-15,S
'1010003',BAR1,5443.2,KG,2022-09-15,S
'1010003',BAR1,3265.92,KG,2022-09-15,S
'1010003',BAR1,1088.64,KG,2022-09-15,S
'1010003',BAR1,2177.28,KG,2022-09-15,S
'1010003',BAR1,1088.64,KG,2022-09-15,S
'1010003',BAR1,5443.2,KG,2022-09-15,S
'1010003',BAR1,10886.4,KG,2022-09-15,S
'1010003',BAR1,7620.48,KG,2022-09-16,H
'1010003',BAR1,10886.4,KG,2022-09-16,H
'1010003',BAR1,18506.88,KG,2022-09-16,H
'1010003',BAR1,18506.88,KG,2022-09-16,H
'1010003',BAR1,15240.96,KG,2022-09-16,S
'1010003',BAR1,2177.28,KG,2022-09-16,S
'1010003',BAR1,1088.64,KG,2022-09-16,S
'1010003',BAR1,9797.76,KG,2022-09-18,H
'1010003',BAR1,5443.2,KG,2022-09-18,H
'1010003',BAR1,1088.64,KG,2022-09-18,H
'1010003',BAR1,2177.28,KG,2022-09-18,H
'1010003',BAR1,1088.64,KG,2022-09-19,S
'1010003',BAR1,11975.04,KG,2022-09-19,S
'1010003',BAR1,6531.84,KG,2022-09-19,S
'1010003',BAR1,6531.84,KG,2022-09-20,S
'1010003',BAR1,5443.2,KG,2022-09-20,S
'1010003',BAR1,1088.64,KG,2022-09-20,S
'1010003',BAR1,3265.92,KG,2022-09-20,S
'1010003',BAR1,4354.56,KG,2022-09-20,S
'1010003',BAR1,15240.96,KG,2022-09-20,S
'1010003',BAR1,8709.12,KG,2022-09-20,S
'1010003',BAR1,10886.4,KG,2022-09-20,S
'1010003',BAR1,7620.48,KG,2022-09-21,H
'1010003',BAR1,4354.56,KG,2022-09-21,H
'1010003',BAR1,3265.92,KG,2022-09-21,H
'1010003',BAR1,1088.64,KG,2022-09-21,H
'1010003',BAR1,544.32,KG,2022-09-21,H
'1010003',BAR1,6531.84,KG,2022-09-22,H
'1010003',BAR1,11975.04,KG,2022-09-22,H
'1010003',BAR1,3265.92,KG,2022-09-23,H
'1010003',BAR1,15240.96,KG,2022-09-23,H
'1010003',BAR1,3265.92,KG,2022-09-23,S
'1010003',BAR1,1088.64,KG,2022-09-23,S
'1010003',BAR1,5443.2,KG,2022-09-23,S
'1010003',BAR1,8709.12,KG,2022-09-23,S
'1010003',BAR1,4354.56,KG,2022-09-23,S
'1010003',BAR1,15240.96,KG,2022-09-23,S
'1010003',BAR1,2177.28,KG,2022-09-23,S
'1010003',BAR1,17418.24,KG,2022-09-23,S
'1010003',BAR1,8709.12,KG,2022-09-23,S
'1010003',BAR1,7620.48,KG,2022-09-23,S
'1010003',BAR1,3265.92,KG,2022-09-23,S
'1010003',BAR1,19595.52,KG,2022-09-23,S
'1010003',BAR1,7620.48,KG,2022-09-26,H
'1010003',BAR1,10886.4,KG,2022-09-26,H
'1010003',BAR1,1088.64,KG,2022-09-27,S
'1010003',BAR1,6531.84,KG,2022-09-27,S
'1010003',BAR1,4354.56,KG,2022-09-27,S
'1010003',BAR1,3265.92,KG,2022-09-27,S
'1010003',BAR1,1088.64,KG,2022-09-27,S
'1010003',BAR1,3265.92,KG,2022-09-27,S
'1010003',BAR1,15240.96,KG,2022-09-27,S
'1010003',BAR1,5443.2,KG,2022-09-27,S
'1010003',BAR1,1088.64,KG,2022-09-27,S
'1010003',BAR1,7620.48,KG,2022-09-27,S
'1010003',BAR1,13063.68,KG,2022-09-28,S
'1010003',BAR1,5443.2,KG,2022-09-28,S
'1010003',BAR1,1088.64,KG,2022-09-28,S
'1010003',BAR1,9797.76,KG,2022-09-28,S
'1010003',BAR1,5443.2,KG,2022-09-28,S
'1010003',BAR1,3265.92,KG,2022-09-28,S
'1010003',BAR1,1088.64,KG,2022-09-28,S
'1010003',BAR1,14152.32,KG,2022-09-28,S
'1010003',BAR1,4354.56,KG,2022-09-28,S
'1010003',BAR1,1088.64,KG,2022-09-28,S
'1010003',BAR1,14152.32,KG,2022-09-30,H
'1010003',BAR1,4354.56,KG,2022-09-30,H
'1010003',BAR1,3265.92,KG,2022-09-30,S
'1010003',BAR1,8709.12,KG,2022-09-30,S
'1010003',BAR1,6531.84,KG,2022-09-30,S
'1010003',BAR1,1088.64,KG,2022-09-30,S
'1010003',BAR1,3265.92,KG,2022-10-04,H
'1010003',BAR1,15240.96,KG,2022-10-04,H
'1010003',BAR1,1088.64,KG,2022-10-04,S
'1010003',BAR1,3265.92,KG,2022-10-04,S
'1010003',BAR1,7620.48,KG,2022-10-04,S
'1010003',BAR1,1088.64,KG,2022-10-04,S
'1010003',BAR1,3265.92,KG,2022-10-04,S
'1010003',BAR1,4354.56,KG,2022-10-04,S
'1010003',BAR1,1088.64,KG,2022-10-04,S
'1010003',BAR1,18506.88,KG,2022-10-04,S
'1010003',BAR1,1088.64,KG,2022-10-05,S
'1010003',BAR1,3265.92,KG,2022-10-05,S
'1010003',BAR1,14152.32,KG,2022-10-05,S
'1010003',BAR1,4354.56,KG,2022-10-05,S
'1010003',BAR1,2177.28,KG,2022-10-05,S
'1010003',BAR1,1088.64,KG,2022-10-05,S
'1010003',BAR1,3265.92,KG,2022-10-05,S
'1010003',BAR1,9797.76,KG,2022-10-06,H
'1010003',BAR1,8709.12,KG,2022-10-06,H
'1010003',BAR1,9797.76,KG,2022-10-11,S
'1010003',BAR1,5443.2,KG,2022-10-11,S
'1010003',BAR1,2177.28,KG,2022-10-11,S
'1010003',BAR1,1088.64,KG,2022-10-11,S
'1010003',BAR1,9797.76,KG,2022-10-11,S
'1010003',BAR1,4354.56,KG,2022-10-12,S
'1010003',BAR1,2177.28,KG,2022-10-12,S
'1010003',BAR1,1088.64,KG,2022-10-12,S
'1010003',BAR1,11975.04,KG,2022-10-12,S
'1010003',BAR1,1088.64,KG,2022-10-12,S
'1010003',BAR1,4354.56,KG,2022-10-12,S
'1010003',BAR1,3265.92,KG,2022-10-12,S
'1010003',BAR1,8709.12,KG,2022-10-12,S
'1010003',BAR1,9797.76,KG,2022-10-18,S
'1010003',BAR1,4354.56,KG,2022-10-18,S
'1010003',BAR1,5443.2,KG,2022-10-18,S
'1010003',BAR1,5443.2,KG,2022-10-18,S
'1010003',BAR1,2177.28,KG,2022-10-18,S
'1010003',BAR1,7620.48,KG,2022-10-18,S
'1010003',BAR1,4354.56,KG,2022-10-18,S
'1010003',BAR1,1088.64,KG,2022-10-18,S
'1010003',BAR1,5443.2,KG,2022-10-18,S
'1010003',BAR1,8709.12,KG,2022-10-18,S
'1010003',BAR1,2177.28,KG,2022-10-18,S
'1010003',BAR1,5443.2,KG,2022-10-18,S
'1010003',BAR1,3265.92,KG,2022-10-18,S
'1010003',BAR1,2177.28,KG,2022-10-18,S
'1010003',BAR1,8709.12,KG,2022-10-18,S
'1010003',BAR1,1088.64,KG,2022-10-18,S
'1010003',BAR1,6531.84,KG,2022-10-18,S
'1010003',BAR1,10886.4,KG,2022-10-18,S
